Matrix Size,Time (ms),Memory Usage (bytes),Theoretical Time (ms),Performance Difference
8,0.042944,1220,4.6414649623787506e-09,1.0808180333408044e-05
16,0.0349632,2820,3.7131719699030005e-08,0.00010620229183550135
32,0.0421696,9092,2.9705375759224004e-07,0.0007044263108785477
64,0.140166,34436,2.3764300607379203e-06,0.0016954397362683674
128,0.132915,134276,1.9011440485903362e-05,0.014303457462215221
256,0.263315,530564,0.0001520915238872269,0.05776029618032656
512,0.697555,2109572,0.0012167321910978152,0.1744281370068045
1024,1.51968,8409220,0.009733857528782522,0.6405202100957125
2048,3.65921,33623172,0.07787086023026017,2.128078471316491
4096,9.28235,134348932,0.6229668818420814,6.711305669815094
8192,28.7909,537264260,4.983735054736651,17.310105119105867
16384,125.503,2148794500,39.86988043789321,31.76806963809089
32768,687.254,8594653316,318.95904350314566,46.41064926550382
